# panel nesting triage — full dashboard (binary)
# columns: route	file	verdict	why	scan_smells	spot_note
# verdict: keep | fix  (no maybe — decorative nest is fix or intentional keep)
# scan_smells: from node .audit/scan-panel-nesting.mjs (exact `panel` token + balanced body)
# updated: 2026-07-21; unify wave: 15a1f6d + 791b858 + 1c9aca9

/	Landing.tsx	keep	Marketing hero; no panel soup	-	
/features	Features.tsx	keep	Marketing; no panel soup	-	
/compare	Compare.tsx	keep	Marketing compare; no app panel nest	-	
/pricing	Pricing.tsx	keep	Marketing; no panel soup	-	
/login	Login.tsx	keep	Auth form; no decorative nest	-	
/register	Register.tsx	keep	Auth form; no decorative nest	-	
/share/:slug	SharePublic.tsx	keep	Public share chrome; empty-state-rich is rare message card	panel_empty_state_rich	allowlisted public frame
/dashboard	DashboardHome.tsx	keep	Site ranking / empty card occupies grid slot	panel_empty_state_rich	card-grid placeholder ≠ page frame
/websites	Websites.tsx	keep	Website cards are content surfaces	panel_empty_state_rich	empty card in list = card pattern
/teams	Teams.tsx	fix	Empty path: dropped solid+dashed wrap; populated list/detail panels stay as MD chrome	panel_wraps_master_detail	scan hit = teams-sidebar-panel (intentional MD chrome)
/links	LinksPixels.tsx	keep	Form/list panels with real fields	-	
/links/analytics	LinkAnalytics.tsx	fix	Dropped panel empty-state-rich around EmptyState	-	
/reports	Reports.tsx	keep	Hub cards + DVS; empty-rich is hub empty card	panel_empty_state_rich,panel_wraps_dvs	hub card pattern
/insights	Insights.tsx	fix	Dropped outer panel around MasterDetail	-	
/boards	Boards.tsx	keep	Empty board is a grid card slot (same class as Websites)	panel_empty_state_rich	card-grid placeholder ≠ page frame
/billing	Billing.tsx	keep	Plan/form sections; content chrome	-	
/admin	Admin.tsx	fix	Forbidden path: dropped empty-state-rich solid wrap	-	
/websites/:websiteId	WebsiteStats.tsx	keep	KPI + primary chart panel; chart EmptyState is chart body	panel_wraps_empty_sole	FP for fix: keep chart-in-panel
/websites/:websiteId/sessions	Sessions.tsx	keep	Filter row + table panel; empty under filters is required (U17.1)	-	
/websites/:websiteId/sessions/:sessionId	SessionDetail.tsx	keep	Detail sections are content panels	-	
/websites/:websiteId/settings	WebsiteSettings.tsx	keep	Settings form / ingest rails	-	
/websites/:websiteId/share	WebsiteShareLinks.tsx	keep	Single form panel	-	
